Number,Verse
590,"John 21:17-18“Simon son of John, do you love me?” “Do you love me?” “Feed my sheep."
591,John 21:19 “Follow me!”
592,"John 21:22 “If I want him to remain alive until I return, what is that to you? You must follow me.”"
593,"John 21:23 “If I want him to remain alive until I return, what is that to you?”"
594,"Acts 1:39 39 “Come, and you will see.”"
595,Acts 1:42 “You are Simon son of John. You will be called Cephas”
596,Acts 1:43 “Follow me.”
597,Acts 1:47 “Here truly is an Israelite in whom there is no deceit.”
598,Acts 1:48 I saw you while you were still under the fig tree before Philip called you.”
599,"Acts 1:50-51 “You believe because I told you I saw you under the fig tree. You will see greater things than that.” 51 “Very truly I tell you, you will see ‘heaven open, and the angels of God ascending and descending on’ the Son of Man.”"
600,"Acts 9:4 “Saul, Saul, why do you persecute me?”"
601,"Acts 9:5 “I am Jesus, whom you are persecuting,”"
602,"Acts 9:6 6 “Now get up and go into the city, and you will be told what you must do.”"
603,Acts 9:10 “Ananias!”
604,"Acts 9:11-12 “Go to the house of Judas on Straight Street and ask for a man from Tarsus named Saul, for he is praying. 12 In a vision he has seen a man named Ananias come and place his hands on him to restore his sight.”"
605,Acts 9:15-16 “Go! This man is my chosen instrument to proclaim my name to the Gentiles and their kings and to the people of Israel. 16 I will show him how much he must suffer for my name.”
606,"Acts 10:13 “Get up, Peter. Kill and eat.”"
607,Acts 10:15 “Do not call anything impure that God has made clean.”
608,"Acts 11:7 ‘Get up, Peter. Kill and eat.’"
609,Acts 11:9 ‘Do not call anything impure that God has made clean.’
610,"Acts 11:16 ‘John baptized with water, but you will be baptized with the Holy Spirit.’"
611,"Acts 18:9-10 “Do not be afraid; keep on speaking, do not be silent. 10 For I am with you, and no one is going to attack and harm you, because I have many people in this city.”"
612,Acts 20:35 ‘It is more blessed to give than to receive.’
613,Acts 22:7 Why do you persecute me?’
614,"Acts 22:8 ‘I am Jesus of Nazareth, whom you are persecuting,’"
615,"Acts 22:10 ‘Get up, and go into Damascus. There you will be told all that you have been assigned to do.’"
616,"Acts 22:18 ‘Quick! Leave Jerusalem immediately, because the people here will not accept your testimony about me."
617,Acts 22:21 ‘Go; I will send you far away to the Gentiles.’
618,"Acts 23:11 “Take courage! As you have testified about me in Jerusalem, so you must also testify in Rome.”"
619,"Acts 26:14 ‘Saul, Saul, why do you persecute me? It is hard for you to kick against the goads.’"
620,"Acts 26:15-18 ‘I am Jesus, whom you are persecuting,’ 16 ‘Now get up and stand on your feet. I have appeared to you to appoint you as a servant and as a witness of what you have seen and will see of me. 17 I will rescue you from your own people and from the Gentiles. I am sending you to them 18 to open their eyes and turn them from darkness to light, and from the power of Satan to God, so that they may receive forgiveness of sins and a place among those who are sanctified by faith in me.’"
621,"I Corinthians 11:24 “This is my body, which is for you; do this in remembrance of me.”"
622,"I Corinthians 11:25 “This cup is the new covenant in my blood; do this, whenever you drink it, in remembrance of me.”"
623,"II Corinthians 12:9 “My grace is sufficient for you, for my power is made perfect in weakness.”"
624,"Revelation 1:8 “I am the Alpha and the Omega, who is, and who was, and who is to come, the Almighty.”"
625,"Revelation 1:11 “Write on a scroll what you see and send it to the seven churches: to Ephesus, Smyrna, Pergamum, Thyatira, Sardis, Philadelphia and Laodicea.”"
